Source,Target,Weight
user_000148,user_035020,1
user_000148,user_035075,1
user_000148,user_035280,1
user_000148,user_007504,1
user_000148,user_035068,1
user_000148,user_035096,1
user_000148,user_035046,1
user_000148,user_035090,1
user_000148,user_003835,1
user_000148,user_035176,1
user_000149,user_035020,1
user_000149,user_035281,1
user_000149,user_035011,1
user_000149,user_035018,1
user_000150,user_035012,1
user_000150,user_035090,1
user_000150,user_035282,1
user_000151,user_035011,1
user_000151,user_035283,1
user_000151,user_035060,1
user_000152,user_020711,2
user_000152,user_016110,3
user_000152,user_009001,1
user_000152,user_035102,1
user_000152,user_035195,3
user_000152,user_001839,1
user_000153,user_035063,2
user_000153,user_035284,1
user_000153,user_035164,1
user_000154,user_035285,1
user_000154,user_009990,1
user_000155,user_035152,1
user_000155,user_035067,1
user_000155,user_035286,1
user_000156,user_035012,1
user_000156,user_035007,1
user_000156,user_035013,1
user_000156,user_035287,1
user_000156,user_011939,1
user_000156,user_008941,1
user_000156,user_035199,2
user_000156,user_035195,3
user_000156,user_035288,3
user_000156,user_035014,1
user_000156,user_035072,1
user_000156,user_035015,1
user_000156,user_035173,1
user_000156,user_035259,1
user_000156,user_035060,1
user_000156,user_035104,1
user_000157,user_035064,1
user_000157,user_008105,1
user_000157,user_030598,1
user_000158,user_024781,1
user_000158,user_000214,1
user_000158,user_007246,1
user_000158,user_035013,1
user_000158,user_035102,1
user_000159,user_026100,1
user_000160,user_035289,1
user_000160,user_035107,1
user_000160,user_020997,1
user_000160,user_001768,1
user_000160,user_035290,1
user_000160,user_035291,1
user_000160,user_035292,1
user_000160,user_035293,1
user_000161,user_035294,1
user_000162,user_035295,1
user_000162,user_035020,1
user_000162,user_035255,1
user_000162,user_035296,1
user_000162,user_035075,2
user_000162,user_035102,2
user_000162,user_035042,1
user_000162,user_035290,1
user_000162,user_035297,1
user_000162,user_024229,1
user_000162,user_007504,1
user_000162,user_003835,1
user_000162,user_035009,2
user_000162,user_006046,2
user_000162,user_005792,1
user_000162,user_013556,1
user_000162,user_035072,2
user_000162,user_011487,1
user_000162,user_035014,1
user_000162,user_035127,1
user_000162,user_035168,1
user_000162,user_011939,1
user_000162,user_035298,1
user_000162,user_035204,1
user_000162,user_035291,1
user_000162,user_035179,1
user_000162,user_035299,1
user_000162,user_035061,1
user_000162,user_035181,1
user_000162,user_035046,3
